model,lead_time,lat,lon,init_time,forecast_time,forecast_time_str
cnn_mlp,6h,12.484344806522131,80.88957012295722,2025-12-02,2025-12-02 06:00:00,2025-12-02 06:00 UTC
cnn_mlp,12h,12.453034419566393,81.46871036887168,2025-12-02,2025-12-02 12:00:00,2025-12-02 12:00 UTC
cnn_mlp,24h,12.390413645654917,82.6269908607006,2025-12-02,2025-12-03 00:00:00,2025-12-03 00:00 UTC
cnn_mlp,48h,12.265172097831964,84.94355184435844,2025-12-02,2025-12-04 00:00:00,2025-12-04 00:00 UTC
gru_motion,6h,11.572046041488647,81.37700614929199,2025-12-02,2025-12-02 06:00:00,2025-12-02 06:00 UTC
gru_motion,12h,9.716138124465942,82.93101844787597,2025-12-02,2025-12-02 12:00:00,2025-12-02 12:00 UTC
gru_motion,24h,6.004322290420532,86.03904304504394,2025-12-02,2025-12-03 00:00:00,2025-12-03 00:00 UTC
gru_motion,48h,-1.419309377670288,92.25509223937988,2025-12-02,2025-12-04 00:00:00,2025-12-04 00:00 UTC
gru_fusion,6h,11.57164466381073,81.3873705625534,2025-12-02,2025-12-02 06:00:00,2025-12-02 06:00 UTC
gru_fusion,12h,9.71493399143219,82.96211168766021,2025-12-02,2025-12-02 12:00:00,2025-12-02 12:00 UTC
gru_fusion,24h,6.00151264667511,86.11159393787383,2025-12-02,2025-12-03 00:00:00,2025-12-03 00:00 UTC
gru_fusion,48h,-1.4253300428390503,92.41055843830108,2025-12-02,2025-12-04 00:00:00,2025-12-04 00:00 UTC
cnn_gru,6h,12.527144074440002,80.61391423493623,2025-12-02,2025-12-02 06:00:00,2025-12-02 06:00 UTC
cnn_gru,12h,12.581432223320007,80.6417427048087,2025-12-02,2025-12-02 12:00:00,2025-12-02 12:00 UTC
cnn_gru,24h,12.690008521080017,80.69739964455366,2025-12-02,2025-12-03 00:00:00,2025-12-03 00:00 UTC
cnn_gru,48h,12.907161116600037,80.80871352404355,2025-12-02,2025-12-04 00:00:00,2025-12-04 00:00 UTC
